Ticker,Date/Time,Price,EMA1,EMA2,EMA3,MACD,SIGNAL,RSI,RSI-MA
ACWI,02/01/2009,33.13,31.80,31.45,31.45,0.36,0.10,58.48,53.18
ACWI,05/01/2009,32.98,32.02,31.59,31.59,0.42,0.14,57.61,54.74
ACWI,06/01/2009,33.40,32.27,31.77,31.77,0.50,0.18,59.43,56.86
ACWI,07/01/2009,32.48,32.31,31.83,31.83,0.47,0.22,53.98,57.00
ACWI,08/01/2009,32.50,32.34,31.90,31.90,0.45,0.25,54.08,56.71
ACWI,09/01/2009,31.66,32.22,31.87,31.87,0.34,0.26,49.34,54.89
ACWI,12/01/2009,30.93,31.98,31.78,31.78,0.20,0.25,45.63,52.49
ACWI,13/01/2009,30.62,31.74,31.67,31.67,0.06,0.23,44.11,49.43
ACWI,14/01/2009,29.59,31.35,31.48,31.48,-0.13,0.18,39.46,46.52
ACWI,15/01/2009,29.74,31.05,31.31,31.31,-0.26,0.13,40.44,43.80
ACWI,16/01/2009,29.98,30.86,31.18,31.18,-0.32,0.07,42.05,42.34
ACWI,20/01/2009,27.97,30.33,30.88,30.88,-0.54,-0.00,33.84,39.98
ACWI,21/01/2009,29.21,30.13,30.72,30.72,-0.59,-0.08,41.40,39.44
ACWI,22/01/2009,28.53,29.84,30.51,30.51,-0.67,-0.15,38.80,39.31
ACWI,23/01/2009,28.66,29.62,30.33,30.33,-0.71,-0.22,39.58,39.13
ACWI,26/01/2009,29.02,29.51,30.21,30.21,-0.69,-0.28,41.77,39.08
ACWI,27/01/2009,29.48,29.51,30.14,30.14,-0.63,-0.32,44.54,41.22
ACWI,28/01/2009,30.54,29.70,30.18,30.18,-0.48,-0.34,50.35,43.01
ACWI,29/01/2009,29.26,29.62,30.09,30.09,-0.47,-0.36,44.34,44.11
ACWI,30/01/2009,28.73,29.46,29.96,29.96,-0.51,-0.38,42.11,44.62
ACWI,02/02/2009,28.69,29.32,29.84,29.84,-0.52,-0.40,41.93,44.65
ACWI,03/02/2009,29.27,29.31,29.79,29.79,-0.48,-0.41,45.37,44.82
ACWI,04/02/2009,29.34,29.31,29.74,29.74,-0.43,-0.41,45.79,43.91
ACWI,05/02/2009,29.68,29.38,29.74,29.74,-0.36,-0.40,47.85,44.61
ACWI,06/02/2009,30.48,29.58,29.81,29.81,-0.23,-0.38,52.42,46.67
ACWI,09/02/2009,30.50,29.75,29.87,29.87,-0.13,-0.35,52.53,48.79
ACWI,10/02/2009,29.10,29.63,29.80,29.80,-0.17,-0.33,44.69,48.65
ACWI,11/02/2009,29.29,29.57,29.75,29.75,-0.18,-0.31,45.86,48.67
ACWI,12/02/2009,29.35,29.53,29.71,29.71,-0.18,-0.29,46.25,48.35
ACWI,13/02/2009,28.98,29.43,29.64,29.64,-0.21,-0.28,44.17,46.70
ACWI,17/02/2009,27.60,29.10,29.45,29.45,-0.35,-0.29,37.43,43.68
ACWI,18/02/2009,27.41,28.79,29.25,29.25,-0.47,-0.31,36.61,42.06
ACWI,19/02/2009,27.19,28.50,29.06,29.06,-0.56,-0.34,35.64,40.02
ACWI,20/02/2009,26.85,28.20,28.85,28.85,-0.65,-0.38,34.13,37.60
ACWI,23/02/2009,25.97,27.79,28.57,28.57,-0.78,-0.43,30.56,34.88
ACWI,24/02/2009,26.92,27.63,28.42,28.42,-0.78,-0.48,38.06,35.00
ACWI,25/02/2009,26.47,27.42,28.23,28.23,-0.81,-0.52,36.08,34.90
ACWI,26/02/2009,26.23,27.21,28.04,28.04,-0.83,-0.56,35.04,34.78
ACWI,27/02/2009,25.94,26.98,27.84,27.84,-0.86,-0.60,33.78,34.71
ACWI,02/03/2009,24.49,26.52,27.52,27.52,-1.00,-0.65,28.32,34.26
ACWI,03/03/2009,24.39,26.14,27.22,27.22,-1.09,-0.70,27.99,32.24
ACWI,04/03/2009,25.37,26.00,27.05,27.05,-1.05,-0.74,35.93,32.21
ACWI,05/03/2009,24.35,25.70,26.79,26.79,-1.09,-0.79,31.99,31.60
ACWI,06/03/2009,24.30,25.44,26.55,26.55,-1.11,-0.83,31.81,31.21
ACWI,09/03/2009,23.93,25.17,26.30,26.30,-1.13,-0.87,30.43,31.63
ACWI,10/03/2009,25.44,25.22,26.22,26.22,-1.00,-0.88,41.52,34.34
ACWI,11/03/2009,25.55,25.28,26.16,26.16,-0.88,-0.88,42.24,35.60
ACWI,12/03/2009,26.42,25.49,26.18,26.18,-0.70,-0.86,47.68,38.74
ACWI,13/03/2009,26.57,25.68,26.22,26.22,-0.54,-0.82,48.58,42.09
ACWI,16/03/2009,26.71,25.87,26.27,26.27,-0.40,-0.77,49.45,45.89
ACWI,17/03/2009,27.52,26.17,26.39,26.39,-0.22,-0.70,54.22,48.43
ACWI,18/03/2009,28.11,26.52,26.55,26.55,-0.03,-0.61,57.37,51.46
ACWI,19/03/2009,27.94,26.78,26.68,26.68,0.10,-0.52,56.18,53.16
ACWI,20/03/2009,27.49,26.91,26.76,26.76,0.15,-0.44,53.05,54.05
ACWI,23/03/2009,29.59,27.40,27.03,27.03,0.37,-0.34,63.27,56.82
ACWI,24/03/2009,28.79,27.65,27.20,27.20,0.45,-0.24,58.11,57.59
ACWI,25/03/2009,29.16,27.92,27.38,27.38,0.54,-0.14,59.73,58.07
ACWI,26/03/2009,29.80,28.27,27.61,27.61,0.65,-0.04,62.44,59.32
