Ticker,Date/Time,Price,EMA1,EMA2,MACD,SIGNAL,RSI,RSI-MA
IGM,02/01/2009,34.90,33.36,33.22,0.14,-0.10,56.83,49.86
IGM,05/01/2009,34.88,33.64,33.38,0.26,-0.06,56.73,51.86
IGM,06/01/2009,36.01,34.07,33.63,0.44,0.00,61.06,54.94
IGM,07/01/2009,34.89,34.22,33.75,0.47,0.06,55.19,56.16
IGM,08/01/2009,35.10,34.38,33.88,0.50,0.12,56.04,57.17
IGM,09/01/2009,34.28,34.36,33.92,0.44,0.16,51.92,56.19
IGM,12/01/2009,33.70,34.24,33.90,0.35,0.18,49.18,54.68
IGM,13/01/2009,33.62,34.13,33.87,0.26,0.19,48.80,52.22
IGM,14/01/2009,32.48,33.83,33.74,0.09,0.18,43.64,49.91
IGM,15/01/2009,32.77,33.64,33.65,-0.01,0.16,45.22,47.75
IGM,16/01/2009,33.14,33.55,33.60,-0.05,0.13,47.24,46.81
IGM,20/01/2009,31.35,33.15,33.38,-0.24,0.08,39.66,44.91
IGM,21/01/2009,32.90,33.10,33.34,-0.24,0.04,47.48,44.65
IGM,22/01/2009,32.35,32.97,33.24,-0.28,0.00,45.25,44.97
IGM,23/01/2009,32.97,32.97,33.22,-0.25,-0.03,48.19,45.56
IGM,26/01/2009,33.09,32.99,33.21,-0.22,-0.05,48.76,45.87
IGM,27/01/2009,33.54,33.09,33.24,-0.15,-0.06,50.93,48.12
IGM,28/01/2009,34.65,33.37,33.37,0.00,-0.06,55.86,49.80
IGM,29/01/2009,33.55,33.40,33.39,0.02,-0.05,50.47,50.84
IGM,30/01/2009,32.81,33.30,33.33,-0.04,-0.05,47.19,50.64
IGM,02/02/2009,33.13,33.27,33.31,-0.05,-0.05,48.73,50.64
IGM,03/02/2009,33.67,33.34,33.35,-0.01,-0.04,51.31,50.71
IGM,04/02/2009,33.86,33.43,33.40,0.04,-0.03,52.21,49.98
IGM,05/02/2009,34.59,33.64,33.51,0.13,-0.01,55.61,51.01
IGM,06/02/2009,35.82,34.04,33.73,0.31,0.03,60.66,53.71
IGM,09/02/2009,35.96,34.39,33.94,0.45,0.08,61.20,56.20
IGM,10/02/2009,34.46,34.40,33.99,0.41,0.12,52.89,56.51
IGM,11/02/2009,34.38,34.40,34.03,0.37,0.15,52.48,56.57
IGM,12/02/2009,34.67,34.45,34.09,0.36,0.18,53.86,56.22
IGM,13/02/2009,34.72,34.50,34.15,0.35,0.20,54.11,54.91
IGM,17/02/2009,33.19,34.26,34.06,0.20,0.20,46.06,51.88
IGM,18/02/2009,33.16,34.06,33.97,0.09,0.19,45.91,50.49
IGM,19/02/2009,32.19,33.72,33.80,-0.08,0.15,41.44,48.28
IGM,20/02/2009,32.07,33.42,33.64,-0.22,0.11,40.91,45.69
IGM,23/02/2009,30.81,32.95,33.37,-0.42,0.04,35.78,42.02
IGM,24/02/2009,31.81,32.74,33.22,-0.48,-0.03,41.97,41.20
IGM,25/02/2009,31.77,32.56,33.08,-0.52,-0.09,41.80,40.38
IGM,26/02/2009,31.47,32.36,32.93,-0.56,-0.15,40.46,40.18
IGM,27/02/2009,31.42,32.19,32.78,-0.59,-0.20,40.23,40.05
IGM,02/03/2009,30.32,31.85,32.55,-0.70,-0.26,35.48,39.99
IGM,03/03/2009,30.41,31.59,32.35,-0.76,-0.33,36.14,38.82
