Ticker,Date/Time,Price,EMA1,EMA2,EMA3,MACD,SIGNAL,RSI,RSI-MA
QQQ,02/01/2009,31.03,29.69,29.53,29.53,0.15,-0.06,57.52,50.31
QQQ,05/01/2009,31.02,29.93,29.68,29.68,0.25,-0.02,57.46,52.34
QQQ,06/01/2009,31.33,30.18,29.83,29.83,0.35,0.03,58.97,54.90
QQQ,07/01/2009,30.44,30.23,29.89,29.89,0.34,0.07,53.17,55.62
QQQ,08/01/2009,30.76,30.33,29.97,29.97,0.35,0.10,54.88,56.40
QQQ,09/01/2009,30.07,30.28,29.98,29.98,0.30,0.13,50.61,55.02
QQQ,12/01/2009,29.52,30.14,29.94,29.94,0.20,0.14,47.46,53.02
QQQ,13/01/2009,29.53,30.03,29.90,29.90,0.13,0.14,47.52,50.73
QQQ,14/01/2009,28.63,29.78,29.78,29.78,-0.00,0.12,42.55,48.61
QQQ,15/01/2009,29.10,29.65,29.71,29.71,-0.06,0.10,45.73,46.78
QQQ,16/01/2009,29.42,29.61,29.69,29.69,-0.08,0.07,47.83,46.22
QQQ,20/01/2009,27.96,29.31,29.52,29.52,-0.21,0.04,40.21,44.77
QQQ,21/01/2009,29.15,29.28,29.49,29.49,-0.20,0.01,47.52,44.77
QQQ,22/01/2009,28.76,29.19,29.42,29.42,-0.23,-0.02,45.56,45.37
QQQ,23/01/2009,28.90,29.13,29.37,29.37,-0.23,-0.05,46.41,45.51
QQQ,26/01/2009,29.11,29.13,29.34,29.34,-0.21,-0.07,47.72,45.48
QQQ,27/01/2009,29.32,29.16,29.34,29.34,-0.18,-0.08,49.05,47.25
QQQ,28/01/2009,30.35,29.38,29.44,29.44,-0.06,-0.08,55.07,48.76
QQQ,29/01/2009,29.58,29.42,29.45,29.45,-0.03,-0.07,50.31,49.71
QQQ,30/01/2009,29.06,29.35,29.41,29.41,-0.06,-0.07,47.35,49.90
QQQ,02/02/2009,29.41,29.36,29.41,29.41,-0.05,-0.07,49.49,50.25
QQQ,03/02/2009,29.87,29.45,29.46,29.46,-0.00,-0.06,52.23,50.89
QQQ,04/02/2009,29.91,29.54,29.50,29.50,0.04,-0.05,52.47,50.37
QQQ,05/02/2009,30.57,29.73,29.60,29.60,0.12,-0.03,56.35,51.58
QQQ,06/02/2009,31.37,30.02,29.77,29.77,0.25,0.01,60.53,54.22
QQQ,09/02/2009,31.50,30.29,29.94,29.94,0.36,0.05,61.18,56.55
QQQ,10/02/2009,30.34,30.30,29.97,29.97,0.33,0.09,52.88,56.68
QQQ,11/02/2009,30.20,30.28,30.00,30.00,0.29,0.11,51.97,56.58
QQQ,12/02/2009,30.57,30.33,30.05,30.05,0.29,0.13,54.21,56.16
QQQ,13/02/2009,30.43,30.35,30.09,30.09,0.27,0.15,53.20,54.69
QQQ,17/02/2009,29.22,30.15,30.00,30.00,0.14,0.15,45.42,51.54
QQQ,18/02/2009,29.24,29.98,29.93,29.93,0.05,0.14,45.56,50.07
