Ticker,Date/Time,Price,RSI_3M
SET50,31/01/2002,226.20,94.22
SET50,28/02/2002,247.50,96.76
SET50,29/03/2002,246.00,92.46
SET50,30/04/2002,243.50,83.23
SET50,31/05/2002,268.20,93.24
SET50,28/06/2002,250.50,56.80
SET50,31/07/2002,239.60,41.74
SET50,30/08/2002,230.50,31.33
SET50,26/09/2002,213.80,18.58
SET50,30/10/2002,227.00,45.08
SET50,29/11/2002,234.00,56.38
SET50,27/12/2002,228.40,45.22
SET50,31/01/2003,239.60,65.63
SET50,28/02/2003,232.90,49.18
SET50,31/03/2003,236.30,57.32
SET50,30/04/2003,242.10,69.73
SET50,30/05/2003,263.60,88.43
SET50,30/06/2003,302.60,95.68
SET50,31/07/2003,312.00,96.48
SET50,29/08/2003,339.20,98.05
SET50,30/09/2003,357.50,98.65
SET50,31/10/2003,381.60,99.16
SET50,28/11/2003,394.00,99.35
SET50,31/12/2003,509.10,99.84
SET50,30/01/2004,462.70,68.42
SET50,27/02/2004,471.40,70.99
SET50,31/03/2004,433.50,46.36
SET50,30/04/2004,436.90,48.75
SET50,31/05/2004,435.70,47.63
SET50,17/06/2004,424.00,35.61
SET50,31/10/2005,477.40,76.39
SET50,30/11/2005,467.28,64.74
SET50,30/12/2005,502.85,80.46
SET50,31/01/2006,540.02,88.50
SET50,28/02/2006,524.62,70.48
SET50,31/03/2006,509.12,53.91
SET50,28/04/2006,533.86,70.51
SET50,31/05/2006,492.52,37.06
SET50,30/06/2006,471.54,27.22
SET50,31/07/2006,482.63,39.87
SET50,31/08/2006,482.43,39.69
SET50,29/09/2006,480.30,36.93
SET50,31/10/2006,504.55,71.17
SET50,30/11/2006,515.93,79.14
SET50,29/12/2006,473.27,30.98
SET50,31/01/2007,456.89,22.94
SET50,28/02/2007,475.66,46.71
SET50,30/03/2007,471.93,42.78
SET50,30/04/2007,491.97,65.91
SET50,30/05/2007,523.40,82.53
SET50,29/06/2007,550.01,89.21
SET50,31/07/2007,617.33,95.60
SET50,31/08/2007,586.31,67.84
SET50,28/09/2007,616.03,77.31
SET50,31/10/2007,672.79,87.69
SET50,30/11/2007,622.63,54.58
SET50,28/12/2007,630.73,58.39
SET50,31/01/2008,567.17,29.40
SET50,29/02/2008,614.37,54.54
SET50,31/03/2008,587.61,41.86
SET50,30/04/2008,599.30,49.55
SET50,30/05/2008,597.82,48.33
SET50,30/06/2008,548.95,21.84
SET50,31/07/2008,473.85,9.65
SET50,29/08/2008,485.25,19.84
SET50,30/09/2008,417.23,9.87
SET50,31/10/2008,288.76,4.07
SET50,28/11/2008,279.83,3.84
SET50,30/12/2008,316.45,29.03
SET50,30/01/2009,303.59,25.51
SET50,27/02/2009,299.58,24.14
SET50,31/03/2009,300.20,25.07
SET50,30/04/2009,346.81,68.60
SET50,29/05/2009,398.36,84.01
SET50,30/06/2009,430.35,89.03
SET50,31/07/2009,449.91,91.48
SET50,31/08/2009,467.27,93.43
SET50,30/09/2009,511.82,96.51
SET50,30/10/2009,483.67,66.82
SET50,30/11/2009,483.54,66.68
SET50,30/12/2009,520.69,82.57
SET50,29/01/2010,490.77,52.39
SET50,26/02/2010,507.68,63.65
SET50,31/03/2010,558.28,82.37
SET50,30/04/2010,538.93,63.59
SET50,31/05/2010,524.14,50.41
SET50,30/06/2010,547.46,66.72
SET50,30/07/2010,583.83,81.19
SET50,31/08/2010,622.67,88.92
SET50,30/09/2010,674.42,93.91
SET50,29/10/2010,677.52,94.15
SET50,30/11/2010,698.46,95.80
SET50,30/12/2010,720.19,97.09
SET50,28/01/2011,681.45,53.42
SET50,28/02/2011,690.89,60.00
SET50,31/03/2011,735.98,80.11
SET50,29/04/2011,770.69,87.42
SET50,31/05/2011,754.08,69.18
SET50,30/06/2011,729.78,47.45
SET50,29/07/2011,794.01,76.60
SET50,31/08/2011,747.07,47.63
SET50,30/09/2011,636.30,20.37
SET50,31/10/2011,691.97,44.37
SET50,30/11/2011,697.33,46.69
SET50,30/12/2011,718.40,57.22
SET50,31/01/2012,757.45,72.38
SET50,29/02/2012,818.78,84.94
SET50,30/03/2012,842.91,88.13
SET50,30/04/2012,863.82,90.69
SET50,31/05/2012,791.54,42.80
SET50,29/06/2012,814.38,54.25
SET50,31/07/2012,828.67,61.49
SET50,31/08/2012,840.32,67.73
SET50,28/09/2012,886.58,83.58
SET50,31/10/2012,879.06,74.64
SET50,30/11/2012,898.81,82.16
SET50,28/12/2012,945.39,91.29
SET50,31/01/2013,988.21,94.89
SET50,28/02/2013,1014.03,96.29
SET50,29/03/2013,1024.92,96.83
SET50,30/04/2013,1055.62,98.05
SET50,31/05/2013,1029.01,65.44
SET50,28/06/2013,982.99,35.13
SET50,31/07/2013,966.03,27.97
