Ticker,Date/Time,Price,EMA1,EMA2,MACD,SIGNAL,RSI,RSI-MA
SET50,03/01/2003,228.50,228.03,229.39,-1.40,-2.45,48.50,48.04
SET50,10/01/2003,231.10,228.59,229.55,-1.00,-2.27,50.48,47.89
SET50,17/01/2003,236.50,230.03,230.21,-0.22,-2.01,54.39,49.32
SET50,24/01/2003,244.90,232.73,231.61,1.09,-1.62,59.69,52.30
SET50,31/01/2003,239.60,233.98,232.37,1.58,-1.22,55.34,53.68
SET50,07/02/2003,245.80,236.13,233.65,2.45,-0.76,59.08,55.80
SET50,14/02/2003,238.00,236.47,234.07,2.38,-0.37,53.09,56.32
SET50,21/02/2003,230.30,235.35,233.71,1.62,-0.12,47.95,55.03
SET50,28/02/2003,232.90,234.90,233.63,1.25,0.05,49.71,53.04
SET50,07/03/2003,231.10,234.21,233.39,0.81,0.14,48.50,51.67
SET50,14/03/2003,231.40,233.70,233.20,0.49,0.19,48.72,49.59
SET50,21/03/2003,235.00,233.94,233.37,0.55,0.23,51.44,49.26
SET50,28/03/2003,239.70,234.98,233.97,1.00,0.33,54.79,50.63
SET50,04/04/2003,241.60,236.19,234.70,1.48,0.47,56.10,51.91
SET50,11/04/2003,248.40,238.41,236.01,2.39,0.71,60.50,54.31
SET50,18/04/2003,248.40,240.22,237.19,3.03,1.00,60.50,56.67
SET50,25/04/2003,237.00,239.64,237.17,2.46,1.18,50.72,56.52
SET50,02/05/2003,242.70,240.19,237.69,2.49,1.35,54.65,56.49
SET50,09/05/2003,248.70,241.74,238.74,2.99,1.55,58.39,56.95
SET50,16/05/2003,248.40,242.95,239.66,3.28,1.77,58.13,56.48
SET50,23/05/2003,257.60,245.62,241.37,4.24,2.08,63.42,57.06
SET50,30/05/2003,263.60,248.89,243.49,5.39,2.49,66.38,60.19
SET50,06/06/2003,274.50,253.54,246.44,7.10,3.07,70.96,63.46
SET50,13/06/2003,280.80,258.50,249.71,8.78,3.78,73.22,66.42
SET50,20/06/2003,298.00,265.68,254.31,11.36,4.73,78.19,70.44
SET50,27/06/2003,300.10,271.94,258.67,13.26,5.80,78.71,73.49
SET50,04/07/2003,324.10,281.42,264.90,16.52,7.14,83.49,76.92
SET50,11/07/2003,316.10,287.73,269.78,17.94,8.49,77.29,78.18
SET50,18/07/2003,321.40,293.85,274.70,19.15,9.82,78.43,79.22
SET50,25/07/2003,313.30,297.39,278.37,19.01,10.97,72.48,78.08
SET50,01/08/2003,317.30,301.01,282.08,18.92,11.96,73.54,77.05
SET50,08/08/2003,320.90,304.62,285.78,18.84,12.82,74.49,75.24
SET50,15/08/2003,333.10,309.80,290.28,19.52,13.66,77.43,75.27
SET50,22/08/2003,342.30,315.71,295.24,20.47,14.51,79.35,75.46
SET50,29/08/2003,339.20,319.98,299.42,20.55,15.27,76.98,76.36
SET50,04/09/2003,340.30,323.68,303.32,20.36,15.90,77.24,77.10
SET50,12/09/2003,351.70,328.77,307.93,20.84,16.52,79.76,78.15
SET50,19/09/2003,351.30,332.87,312.06,20.81,17.06,79.43,78.55
SET50,26/09/2003,358.90,337.60,316.52,21.08,17.56,81.03,78.89
SET50,03/10/2003,344.90,338.93,319.22,19.71,17.83,70.24,77.54
SET50,10/10/2003,358.90,342.56,323.00,19.56,18.04,73.96,76.89
SET50,17/10/2003,359.70,345.68,326.50,19.18,18.19,74.16,75.76
SET50,24/10/2003,368.30,349.79,330.48,19.31,18.33,76.23,75.12
SET50,31/10/2003,381.60,355.57,335.35,20.23,18.56,79.02,74.72
SET50,07/11/2003,406.30,364.80,342.10,22.69,19.08,83.00,77.27
SET50,14/11/2003,396.90,370.63,347.32,23.31,19.61,77.05,77.89
