Ticker,Date/Time,Price,EMA1,EMA2,EMA3,MACD,SIGNAL,RSI,RSI-MA
^SET.BK,05/01/2009,478.69,448.72,439.45,439.45,9.27,3.09,68.25,59.00
^SET.BK,06/01/2009,473.15,453.16,442.66,442.66,10.50,4.02,64.98,60.86
^SET.BK,07/01/2009,462.96,454.94,444.60,444.60,10.35,4.81,59.37,61.43
^SET.BK,08/01/2009,465.03,456.78,446.54,446.54,10.24,5.49,60.12,62.15
^SET.BK,09/01/2009,459.06,457.19,447.73,447.73,9.46,5.98,56.88,61.92
^SET.BK,12/01/2009,452.80,456.39,448.22,448.22,8.18,6.26,53.64,59.00
^SET.BK,13/01/2009,433.81,452.29,446.84,446.84,5.44,6.16,45.24,55.05
^SET.BK,14/01/2009,439.51,449.96,446.15,446.15,3.82,5.86,47.87,52.75
^SET.BK,15/01/2009,426.26,445.65,444.25,444.25,1.40,5.31,42.76,49.28
^SET.BK,16/01/2009,435.20,443.75,443.39,443.39,0.36,4.69,46.86,47.27
^SET.BK,19/01/2009,435.71,442.29,442.66,442.66,-0.37,4.06,47.09,45.97
^SET.BK,20/01/2009,433.19,440.64,441.76,441.76,-1.12,3.41,46.03,46.12
^SET.BK,21/01/2009,431.23,438.93,440.75,440.75,-1.83,2.75,45.18,45.59
^SET.BK,22/01/2009,438.27,438.81,440.52,440.52,-1.71,2.20,48.81,46.80
^SET.BK,23/01/2009,433.52,437.85,439.85,439.85,-2.01,1.67,46.58,46.74
^SET.BK,26/01/2009,436.73,437.64,439.55,439.55,-1.91,1.22,48.29,46.98
^SET.BK,27/01/2009,444.79,438.94,440.05,440.05,-1.11,0.93,52.39,48.25
^SET.BK,28/01/2009,448.35,440.65,440.84,440.84,-0.19,0.79,54.12,50.04
^SET.BK,29/01/2009,435.00,439.63,440.29,440.29,-0.66,0.61,47.25,49.73
^SET.BK,30/01/2009,437.69,439.27,440.04,440.04,-0.77,0.44,48.66,50.14
^SET.BK,02/02/2009,427.85,437.20,438.88,438.88,-1.68,0.17,44.05,49.29
^SET.BK,03/02/2009,430.69,436.01,438.10,438.10,-2.09,-0.11,45.64,47.94
^SET.BK,04/02/2009,433.04,435.47,437.62,437.62,-2.14,-0.36,46.98,46.51
^SET.BK,05/02/2009,433.44,435.10,437.22,437.22,-2.12,-0.58,47.21,46.51
^SET.BK,06/02/2009,444.39,436.79,437.90,437.90,-1.11,-0.65,53.33,47.44
^SET.BK,10/02/2009,443.17,437.95,438.40,438.40,-0.45,-0.62,52.60,49.15
^SET.BK,11/02/2009,444.10,439.07,438.95,438.95,0.12,-0.53,53.12,50.65
^SET.BK,12/02/2009,440.63,439.35,439.11,439.11,0.25,-0.43,50.88,51.43
^SET.BK,13/02/2009,445.77,440.52,439.74,439.74,0.78,-0.28,53.96,52.78
^SET.BK,16/02/2009,446.64,441.63,440.40,440.40,1.23,-0.09,54.48,53.01
^SET.BK,17/02/2009,438.22,441.01,440.19,440.19,0.82,0.02,48.79,52.25
^SET.BK,18/02/2009,439.60,440.76,440.13,440.13,0.62,0.10,49.71,51.56
^SET.BK,19/02/2009,441.62,440.91,440.28,440.28,0.64,0.16,51.09,51.61
^SET.BK,20/02/2009,434.67,439.78,439.74,439.74,0.04,0.15,46.40,50.09
^SET.BK,23/02/2009,434.99,438.91,439.29,439.29,-0.38,0.08,46.64,48.53
^SET.BK,24/02/2009,431.32,437.53,438.53,438.53,-1.00,-0.05,44.19,47.60
^SET.BK,25/02/2009,434.24,436.93,438.12,438.12,-1.19,-0.20,46.58,46.98
^SET.BK,26/02/2009,431.94,436.02,437.53,437.53,-1.51,-0.36,44.95,45.75
^SET.BK,27/02/2009,431.52,435.20,436.96,436.96,-1.76,-0.53,44.65,45.40
^SET.BK,02/03/2009,416.52,431.81,435.01,435.01,-3.21,-0.87,35.44,43.16
^SET.BK,03/03/2009,413.09,428.40,432.93,432.93,-4.52,-1.33,33.74,41.07
^SET.BK,04/03/2009,417.86,426.49,431.49,431.49,-5.00,-1.79,38.17,39.39
^SET.BK,05/03/2009,417.11,424.78,430.12,430.12,-5.34,-2.23,37.74,37.95
^SET.BK,06/03/2009,419.51,423.82,429.11,429.11,-5.29,-2.61,40.03,37.02
^SET.BK,09/03/2009,411.27,421.54,427.41,427.41,-5.87,-3.02,35.26,36.99
^SET.BK,10/03/2009,417.41,420.79,426.46,426.46,-5.67,-3.35,40.89,38.42
^SET.BK,11/03/2009,414.41,419.63,425.31,425.31,-5.68,-3.64,39.11,38.61
^SET.BK,12/03/2009,415.04,418.80,424.33,424.33,-5.54,-3.88,39.70,39.00
^SET.BK,13/03/2009,424.79,419.89,424.38,424.38,-4.49,-3.96,48.05,40.60
^SET.BK,16/03/2009,424.61,420.74,424.40,424.40,-3.65,-3.92,47.92,43.13
^SET.BK,17/03/2009,422.32,421.03,424.20,424.20,-3.17,-3.82,46.20,44.19
^SET.BK,18/03/2009,426.20,421.97,424.39,424.39,-2.42,-3.65,49.49,46.27
^SET.BK,19/03/2009,427.72,423.02,424.71,424.71,-1.69,-3.40,50.75,48.48
^SET.BK,20/03/2009,429.64,424.22,425.18,425.18,-0.96,-3.10,52.37,49.34
^SET.BK,23/03/2009,438.17,426.76,426.42,426.42,0.34,-2.67,58.80,51.52
^SET.BK,24/03/2009,438.16,428.83,427.53,427.53,1.30,-2.17,58.79,54.04
^SET.BK,25/03/2009,436.92,430.30,428.43,428.43,1.87,-1.67,57.49,55.64
^SET.BK,26/03/2009,439.40,431.96,429.47,429.47,2.48,-1.15,59.41,57.37
^SET.BK,27/03/2009,440.81,433.57,430.55,430.55,3.01,-0.63,60.49,58.99
^SET.BK,30/03/2009,429.60,432.84,430.46,430.46,2.38,-0.25,49.28,57.09
^SET.BK,31/03/2009,431.50,432.60,430.56,430.56,2.04,0.03,50.93,55.52
^SET.BK,01/04/2009,430.09,432.14,430.52,430.52,1.63,0.23,49.64,53.95
^SET.BK,02/04/2009,442.96,434.11,431.70,431.70,2.41,0.51,59.61,53.99
^SET.BK,03/04/2009,446.04,436.28,433.07,433.07,3.21,0.84,61.56,54.21
^SET.BK,07/04/2009,442.56,437.42,433.97,433.97,3.45,1.17,58.16,55.98
^SET.BK,08/04/2009,443.57,438.54,434.88,434.88,3.65,1.48,58.87,57.57
^SET.BK,09/04/2009,444.07,439.54,435.76,435.76,3.79,1.77,59.23,59.49
^SET.BK,10/04/2009,453.88,442.15,437.49,437.49,4.67,2.13,65.65,60.70
^SET.BK,16/04/2009,452.97,444.12,438.96,438.96,5.16,2.51,64.64,61.31
^SET.BK,17/04/2009,456.80,446.42,440.66,440.66,5.76,2.92,66.93,63.06
^SET.BK,20/04/2009,466.28,450.03,443.10,443.10,6.93,3.42,71.79,65.65
^SET.BK,21/04/2009,466.38,453.01,445.32,445.32,7.69,3.95,71.84,68.17
^SET.BK,22/04/2009,460.62,454.39,446.77,446.77,7.62,4.41,65.17,68.07
^SET.BK,23/04/2009,466.06,456.51,448.61,448.61,7.90,4.85,68.16,68.78
^SET.BK,24/04/2009,474.07,459.70,451.04,451.04,8.67,5.32,71.96,69.78
^SET.BK,27/04/2009,474.99,462.48,453.32,453.32,9.17,5.80,72.36,69.90
^SET.BK,28/04/2009,472.72,464.34,455.16,455.16,9.18,6.23,69.70,69.47
^SET.BK,29/04/2009,483.50,467.83,457.86,457.86,9.96,6.69,74.48,71.33
^SET.BK,30/04/2009,491.69,472.17,461.08,461.08,11.08,7.24,77.38,73.18
^SET.BK,04/05/2009,506.26,478.37,465.39,465.39,12.98,7.96,81.42,75.07
^SET.BK,06/05/2009,523.14,486.51,470.89,470.89,15.62,8.92,84.78,77.55
^SET.BK,07/05/2009,527.72,494.00,476.30,476.30,17.70,10.01,85.55,80.72
^SET.BK,11/05/2009,535.18,501.49,481.91,481.91,19.58,11.21,86.71,83.17
^SET.BK,12/05/2009,544.54,509.31,487.87,487.87,21.44,12.49,88.00,85.29
^SET.BK,13/05/2009,552.71,517.20,494.05,494.05,23.16,13.82,89.00,86.81
^SET.BK,14/05/2009,526.55,518.90,497.14,497.14,21.76,14.81,69.18,83.69
^SET.BK,15/05/2009,533.92,521.63,500.65,500.65,20.99,15.59,71.12,80.80
^SET.BK,18/05/2009,540.22,525.01,504.41,504.41,20.60,16.21,72.70,78.00
^SET.BK,19/05/2009,556.47,530.73,509.37,509.37,21.36,16.86,76.27,75.66
^SET.BK,20/05/2009,561.41,536.31,514.33,514.33,21.98,17.50,77.25,73.30
^SET.BK,21/05/2009,548.77,538.58,517.61,517.61,20.97,17.93,69.45,73.36
^SET.BK,22/05/2009,554.02,541.38,521.08,521.08,20.31,18.23,70.77,73.29
^SET.BK,25/05/2009,550.51,543.04,523.88,523.88,19.16,18.34,68.65,72.48
^SET.BK,26/05/2009,542.69,542.98,525.67,525.67,17.31,18.22,64.09,70.04
^SET.BK,27/05/2009,555.41,545.24,528.50,528.50,16.74,18.03,67.82,68.15
^SET.BK,28/05/2009,555.43,547.09,531.07,531.07,16.02,17.78,67.82,67.83
^SET.BK,29/05/2009,560.41,549.51,533.86,533.86,15.65,17.51,69.26,67.53
^SET.BK,01/06/2009,579.98,555.05,538.25,538.25,16.80,17.42,74.12,68.62
^SET.BK,02/06/2009,574.30,558.55,541.69,541.69,16.87,17.35,70.64,69.93
^SET.BK,03/06/2009,582.25,562.86,545.55,545.55,17.31,17.35,72.57,70.88
^SET.BK,04/06/2009,593.60,568.45,550.13,550.13,18.32,17.47,75.08,72.33
^SET.BK,05/06/2009,604.57,575.02,555.31,555.31,19.71,17.75,77.23,73.93
^SET.BK,08/06/2009,600.03,579.57,559.57,559.57,19.99,18.03,74.38,73.98
^SET.BK,09/06/2009,607.73,584.69,564.16,564.16,20.53,18.34,75.99,75.05
^SET.BK,10/06/2009,624.55,591.93,569.91,569.91,22.03,18.80,79.07,76.35
^SET.BK,11/06/2009,627.07,598.32,575.35,575.35,22.97,19.32,79.49,77.23
^SET.BK,12/06/2009,628.55,603.82,580.42,580.42,23.40,19.83,79.75,77.73
^SET.BK,15/06/2009,611.92,605.29,583.42,583.42,21.87,20.09,69.30,76.72
^SET.BK,16/06/2009,596.54,603.70,584.67,584.67,19.03,19.96,61.33,73.79
^SET.BK,17/06/2009,586.14,600.51,584.81,584.81,15.70,19.42,56.62,69.30
^SET.BK,18/06/2009,570.43,595.04,583.44,583.44,11.60,18.45,50.35,63.47
^SET.BK,19/06/2009,588.98,593.94,583.97,583.97,9.97,17.39,56.45,58.81
^SET.BK,22/06/2009,582.29,591.82,583.81,583.81,8.01,16.21,53.89,55.73
^SET.BK,23/06/2009,569.85,587.83,582.48,582.48,5.35,14.86,49.43,53.35
^SET.BK,24/06/2009,581.43,586.66,582.38,582.38,4.28,13.53,53.29,52.68
^SET.BK,25/06/2009,590.60,587.38,583.16,583.16,4.22,12.37,56.13,53.84
^SET.BK,26/06/2009,595.80,588.91,584.36,584.36,4.54,11.39,57.69,54.09
^SET.BK,29/06/2009,601.60,591.22,586.01,586.01,5.21,10.62,59.42,55.19
^SET.BK,30/06/2009,597.48,592.36,587.10,587.10,5.26,9.95,57.63,56.83
^SET.BK,02/07/2009,586.42,591.28,587.03,587.03,4.24,9.24,53.03,56.78
^SET.BK,03/07/2009,583.48,589.86,586.70,586.70,3.16,8.48,51.85,55.92
^SET.BK,08/07/2009,575.87,587.32,585.66,585.66,1.65,7.62,48.84,54.15
^SET.BK,09/07/2009,581.99,586.35,585.31,585.31,1.03,6.80,51.28,52.53
^SET.BK,10/07/2009,566.03,582.65,583.48,583.48,-0.83,5.85,45.26,50.05
^SET.BK,13/07/2009,562.55,579.00,581.49,581.49,-2.49,4.80,44.05,48.26
^SET.BK,14/07/2009,577.75,578.77,581.13,581.13,-2.36,3.91,50.26,47.94
^SET.BK,15/07/2009,587.86,580.42,581.77,581.77,-1.35,3.25,53.91,48.95
^SET.BK,16/07/2009,582.74,580.84,581.86,581.86,-1.02,2.72,51.85,49.07
^SET.BK,17/07/2009,596.11,583.62,583.22,583.22,0.40,2.43,56.51,51.32
^SET.BK,20/07/2009,613.67,589.08,586.12,586.12,2.96,2.50,61.72,54.85
^SET.BK,21/07/2009,609.83,592.86,588.38,588.38,4.48,2.74,60.03,56.80
^SET.BK,22/07/2009,598.22,593.83,589.32,589.32,4.52,2.97,55.15,57.05
^SET.BK,23/07/2009,612.19,597.17,591.49,591.49,5.68,3.30,59.41,58.56
^SET.BK,24/07/2009,614.24,600.27,593.66,593.66,6.61,3.72,60.00,59.26
^SET.BK,27/07/2009,617.83,603.47,595.96,595.96,7.50,4.19,61.08,59.13
^SET.BK,28/07/2009,621.96,606.83,598.44,598.44,8.39,4.72,62.32,59.59
^SET.BK,29/07/2009,614.88,608.29,600.00,600.00,8.29,5.16,58.86,60.33
