Ticker,Date/Time,Price,RSI_3M
SPY,31/01/2001,137.02,48.47
SPY,28/02/2001,123.95,21.27
SPY,30/03/2001,116.69,14.49
SPY,30/04/2001,126.66,48.37
SPY,31/05/2001,125.95,46.41
SPY,29/06/2001,122.60,36.05
SPY,31/07/2001,121.35,32.05
SPY,31/08/2001,114.15,16.35
SPY,28/09/2001,104.44,8.21
SPY,31/10/2001,105.80,16.90
SPY,30/11/2001,114.05,55.36
SPY,31/12/2001,114.30,56.27
SPY,31/01/2002,113.18,49.43
SPY,28/02/2002,111.15,37.15
SPY,28/03/2002,114.52,61.17
SPY,30/04/2002,107.86,28.68
SPY,31/05/2002,107.22,26.64
SPY,28/06/2002,98.96,11.21
SPY,31/07/2002,91.16,6.16
SPY,30/08/2002,91.78,10.94
SPY,30/09/2002,81.79,4.90
SPY,31/10/2002,88.52,38.96
SPY,29/11/2002,93.98,57.48
SPY,31/12/2002,88.23,38.86
SPY,31/01/2003,86.06,32.83
SPY,28/02/2003,84.90,29.20
SPY,31/03/2003,84.74,28.55
SPY,30/04/2003,91.91,71.46
SPY,30/05/2003,96.95,82.52
SPY,30/06/2003,97.63,83.79
SPY,31/07/2003,99.39,87.36
SPY,29/08/2003,101.44,90.87
SPY,30/09/2003,99.95,69.75
SPY,31/10/2003,105.30,86.57
SPY,28/11/2003,106.45,88.61
SPY,31/12/2003,111.28,94.18
SPY,30/01/2004,113.48,95.64
SPY,27/02/2004,115.02,96.55
SPY,31/03/2004,113.10,69.49
SPY,30/04/2004,110.96,47.31
SPY,28/05/2004,112.86,63.03
SPY,30/06/2004,114.53,73.46
SPY,30/07/2004,110.84,37.96
SPY,31/08/2004,111.11,41.08
SPY,30/09/2004,111.76,50.15
SPY,29/10/2004,113.20,67.02
SPY,30/11/2004,117.89,87.57
SPY,31/12/2004,120.87,92.20
SPY,31/01/2005,118.16,61.13
SPY,28/02/2005,120.63,73.39
SPY,31/03/2005,117.96,48.56
SPY,29/04/2005,115.75,34.19
SPY,31/05/2005,119.48,62.37
SPY,30/06/2005,119.18,59.31
SPY,29/07/2005,123.74,80.81
SPY,31/08/2005,122.58,67.25
SPY,30/09/2005,123.04,70.22
SPY,31/10/2005,120.13,37.73
SPY,30/11/2005,125.41,72.44
SPY,30/12/2005,124.51,63.40
SPY,31/01/2006,127.50,77.43
SPY,28/02/2006,128.23,80.21
SPY,31/03/2006,129.83,85.91
SPY,28/04/2006,131.47,90.24
SPY,31/05/2006,127.51,42.73
SPY,30/06/2006,127.28,40.85
SPY,31/07/2006,127.85,49.15
SPY,31/08/2006,130.64,74.94
SPY,29/09/2006,133.58,86.09
SPY,31/10/2006,137.79,92.89
SPY,30/11/2006,140.53,95.18
SPY,29/12/2006,141.62,95.96
SPY,31/01/2007,143.75,97.26
SPY,28/02/2007,140.93,59.37
SPY,30/03/2007,142.00,66.74
SPY,30/04/2007,148.29,87.21
SPY,31/05/2007,153.32,92.64
SPY,29/06/2007,150.43,67.82
SPY,31/07/2007,145.72,40.98
SPY,31/08/2007,147.59,52.24
SPY,28/09/2007,152.58,72.91
SPY,31/10/2007,154.65,78.66
SPY,30/11/2007,148.66,40.95
SPY,31/12/2007,146.21,31.64
SPY,31/01/2008,137.37,14.19
SPY,29/02/2008,133.82,10.65
SPY,31/03/2008,131.97,8.91
SPY,30/04/2008,138.26,50.28
SPY,30/05/2008,140.35,59.46
SPY,30/06/2008,127.98,22.53
SPY,31/07/2008,126.83,20.74
SPY,29/08/2008,128.79,34.15
SPY,30/09/2008,115.99,12.85
SPY,31/10/2008,96.83,5.35
SPY,28/11/2008,90.09,4.09
SPY,31/12/2008,90.24,4.84
SPY,30/01/2009,82.83,3.07
SPY,27/02/2009,73.93,1.85
SPY,31/03/2009,79.52,28.59
SPY,30/04/2009,87.42,54.73
SPY,29/05/2009,92.53,66.60
SPY,30/06/2009,91.95,63.75
SPY,31/07/2009,98.81,79.38
SPY,31/08/2009,102.46,84.66
SPY,30/09/2009,105.59,88.46
SPY,30/10/2009,103.56,71.28
SPY,30/11/2009,109.94,85.01
SPY,31/12/2009,111.44,87.17
SPY,29/01/2010,107.39,55.03
SPY,26/02/2010,110.74,69.14
SPY,31/03/2010,117.00,83.59
SPY,30/04/2010,118.81,86.36
SPY,28/05/2010,109.37,37.22
SPY,30/06/2010,103.22,23.92
SPY,30/07/2010,110.27,52.88
SPY,31/08/2010,105.31,37.72
SPY,30/09/2010,114.13,64.70
SPY,29/10/2010,118.49,73.28
SPY,30/11/2010,118.49,73.28
SPY,31/12/2010,125.75,86.02
SPY,31/01/2011,128.68,89.15
SPY,28/02/2011,133.15,92.83
SPY,31/03/2011,132.59,87.27
SPY,29/04/2011,136.43,92.12
SPY,31/05/2011,134.90,75.03
SPY,30/06/2011,131.97,48.95
SPY,29/07/2011,129.33,33.30
SPY,31/08/2011,122.22,14.53
SPY,30/09/2011,113.15,6.99
SPY,31/10/2011,125.50,54.85
SPY,30/11/2011,124.99,53.15
SPY,30/12/2011,125.50,55.23
SPY,31/01/2012,131.32,74.53
SPY,29/02/2012,137.02,84.41
SPY,30/03/2012,140.81,88.76
SPY,30/04/2012,139.87,80.41
SPY,31/05/2012,131.47,35.58
SPY,29/06/2012,136.10,55.91
SPY,31/07/2012,137.71,62.14
SPY,31/08/2012,141.16,73.96
SPY,28/09/2012,143.97,81.15
SPY,31/10/2012,141.35,58.54
SPY,30/11/2012,142.15,63.23
SPY,31/12/2012,142.41,65.16
SPY,31/01/2013,149.70,89.11
SPY,28/02/2013,151.61,91.43
SPY,28/03/2013,156.67,95.35
SPY,30/04/2013,159.68,96.70
SPY,31/05/2013,163.45,97.87
SPY,28/06/2013,160.42,68.66
SPY,31/07/2013,168.71,85.91
SPY,30/08/2013,163.65,57.12
SPY,30/09/2013,168.01,70.08
SPY,31/10/2013,175.79,83.46
SPY,29/11/2013,181.00,88.59
SPY,31/12/2013,184.69,91.41
SPY,31/01/2014,178.18,55.22
SPY,28/02/2014,186.29,74.26
SPY,31/03/2014,187.01,75.64
SPY,30/04/2014,188.31,78.73
SPY,30/05/2014,192.68,87.02
SPY,30/06/2014,195.72,90.78
SPY,31/07/2014,193.09,66.00
SPY,29/08/2014,200.71,84.45
SPY,30/09/2014,197.02,60.58
SPY,31/10/2014,201.66,74.29
SPY,28/11/2014,207.20,84.16
SPY,31/12/2014,205.54,71.77
SPY,30/01/2015,199.45,39.66
SPY,27/02/2015,210.66,73.01
SPY,31/03/2015,206.43,55.61
SPY,30/04/2015,208.46,62.11
SPY,29/05/2015,211.14,70.63
SPY,30/06/2015,205.85,42.41
SPY,31/07/2015,210.50,62.28
SPY,31/08/2015,197.67,25.65
SPY,30/09/2015,191.63,18.12
SPY,30/10/2015,207.93,62.58
SPY,30/11/2015,208.69,63.95
SPY,31/12/2015,203.87,47.44
SPY,29/01/2016,193.72,26.13
SPY,29/02/2016,193.56,25.85
SPY,31/03/2016,205.52,65.96
SPY,29/04/2016,206.33,67.74
SPY,31/05/2016,209.84,75.90
SPY,30/06/2016,209.48,73.05
SPY,29/07/2016,217.12,87.71
SPY,31/08/2016,217.38,88.04
SPY,30/09/2016,216.30,75.36
SPY,31/10/2016,212.55,43.05
SPY,30/11/2016,220.38,75.69
SPY,30/12/2016,223.53,81.94
SPY,31/01/2017,227.53,87.87
SPY,28/02/2017,236.47,94.23
SPY,31/03/2017,235.74,88.55
SPY,28/04/2017,238.08,91.12
SPY,31/05/2017,241.44,94.02
SPY,30/06/2017,241.80,94.32
SPY,31/07/2017,246.77,97.20
SPY,31/08/2017,247.49,97.48
SPY,29/09/2017,251.23,98.58
SPY,31/10/2017,257.15,99.30
SPY,30/11/2017,265.01,99.65
SPY,29/12/2017,266.86,99.71
SPY,31/01/2018,281.90,99.90
SPY,28/02/2018,271.65,60.09
SPY,29/03/2018,263.15,40.18
SPY,30/04/2018,264.51,44.59
SPY,31/05/2018,270.94,63.60
SPY,29/06/2018,271.28,64.57
SPY,31/07/2018,281.33,83.71
SPY,31/08/2018,290.31,90.55
SPY,28/09/2018,290.72,90.81
SPY,31/10/2018,270.63,29.73
SPY,30/11/2018,275.65,43.88
SPY,31/12/2018,249.92,17.22
SPY,31/01/2019,269.93,51.55
SPY,28/02/2019,278.68,61.92
SPY,29/03/2019,282.48,66.57
SPY,30/04/2019,294.02,78.53
SPY,31/05/2019,275.27,41.95
SPY,28/06/2019,293.00,65.05
SPY,31/07/2019,297.43,69.58
SPY,30/08/2019,292.45,57.09
SPY,30/09/2019,296.77,65.22
SPY,31/10/2019,303.33,75.70
SPY,29/11/2019,314.31,86.16
SPY,31/12/2019,321.86,90.42
SPY,31/01/2020,321.73,89.71
SPY,28/02/2020,296.26,27.05
SPY,31/03/2020,257.75,10.47
SPY,30/04/2020,290.48,49.74
SPY,29/05/2020,304.32,60.68
SPY,30/06/2020,308.36,64.10
SPY,31/07/2020,326.52,77.38
SPY,31/08/2020,349.31,86.66
SPY,30/09/2020,334.89,62.37
SPY,30/10/2020,326.54,50.16
SPY,30/11/2020,362.06,77.84
SPY,31/12/2020,373.88,82.65
SPY,29/01/2021,370.07,74.80
SPY,26/02/2021,380.36,81.80
SPY,31/03/2021,396.33,88.95
SPY,30/04/2021,417.30,93.77
SPY,28/05/2021,420.04,94.26
SPY,30/06/2021,428.06,95.74
SPY,30/07/2021,438.51,97.16
SPY,31/08/2021,451.56,98.25
SPY,30/09/2021,429.14,49.32
SPY,29/10/2021,459.25,74.70
SPY,30/11/2021,455.56,68.40
SPY,31/12/2021,474.96,81.02
SPY,31/01/2022,449.91,45.68
SPY,28/02/2022,436.63,33.92
SPY,31/03/2022,451.64,54.00
SPY,29/04/2022,412.00,24.50
SPY,31/05/2022,412.93,25.93
SPY,30/06/2022,377.25,12.43
SPY,29/07/2022,411.99,50.25
SPY,31/08/2022,395.18,38.26
SPY,30/09/2022,357.18,21.15
SPY,31/10/2022,386.21,47.87
SPY,25/11/2022,402.33,59.34
