Ticker,Date/Time,Price,EMA1,EMA2,MACD,SIGNAL,RSI,RSI-MA
SPY,05/01/2001,129.19,133.61,137.11,-3.52,-2.14,34.46,36.54
SPY,12/01/2001,132.00,133.32,136.62,-3.33,-2.29,39.83,36.66
SPY,19/01/2001,134.02,133.45,136.37,-2.95,-2.37,43.40,38.10
SPY,26/01/2001,135.88,133.89,136.33,-2.46,-2.38,46.53,40.17
SPY,02/02/2001,134.80,134.06,136.18,-2.15,-2.35,44.98,41.84
SPY,09/02/2001,131.84,133.65,135.77,-2.13,-2.33,40.98,43.14
SPY,16/02/2001,130.40,133.06,135.26,-2.21,-2.31,39.16,43.01
SPY,23/02/2001,124.96,131.59,134.28,-2.70,-2.36,33.21,40.97
SPY,02/03/2001,123.61,130.14,133.26,-3.14,-2.46,31.92,38.05
SPY,09/03/2001,123.36,128.91,132.32,-3.42,-2.58,31.67,35.39
SPY,16/03/2001,115.01,126.38,130.67,-4.30,-2.79,24.86,32.16
SPY,23/03/2001,114.48,124.22,129.13,-4.92,-3.06,24.50,29.23
SPY,30/03/2001,116.69,122.85,127.94,-5.10,-3.31,29.07,28.40
SPY,06/04/2001,113.30,121.11,126.55,-5.44,-3.58,26.44,27.31
SPY,12/04/2001,118.85,120.70,125.82,-5.12,-3.77,36.51,28.28
SPY,20/04/2001,124.50,121.39,125.69,-4.31,-3.84,44.76,32.26
SPY,27/04/2001,125.78,122.19,125.70,-3.52,-3.80,46.45,36.65
SPY,04/05/2001,127.34,123.13,125.85,-2.73,-3.67,48.50,40.53
SPY,11/05/2001,125.15,123.49,125.79,-2.30,-3.50,45.86,44.42
SPY,18/05/2001,129.74,124.63,126.16,-1.54,-3.25,51.77,47.47
SPY,25/05/2001,128.10,125.26,126.35,-1.09,-2.98,49.69,48.45
SPY,01/06/2001,126.73,125.53,126.38,-0.86,-2.72,47.97,48.76
SPY,08/06/2001,127.00,125.80,126.44,-0.65,-2.46,48.35,48.73
SPY,15/06/2001,121.85,125.08,126.01,-0.93,-2.27,42.10,47.97
SPY,22/06/2001,122.85,124.67,125.71,-1.04,-2.11,43.61,46.34
SPY,29/06/2001,122.60,124.30,125.41,-1.12,-1.99,43.31,45.07
SPY,06/07/2001,119.05,123.34,124.80,-1.46,-1.92,39.16,43.30
SPY,13/07/2001,122.24,123.14,124.56,-1.42,-1.86,44.30,42.49
SPY,20/07/2001,121.34,122.81,124.25,-1.44,-1.81,43.19,42.71
SPY,27/07/2001,120.81,122.45,123.93,-1.48,-1.77,42.53,42.50
SPY,03/08/2001,121.94,122.36,123.74,-1.38,-1.72,44.49,42.73
SPY,10/08/2001,119.29,121.80,123.31,-1.51,-1.69,40.97,43.10
SPY,17/08/2001,116.75,120.88,122.69,-1.81,-1.71,37.90,41.82
SPY,24/08/2001,119.02,120.54,122.34,-1.80,-1.72,42.06,41.59
SPY,31/08/2001,114.15,119.38,121.56,-2.18,-1.78,36.45,40.37
SPY,07/09/2001,108.72,117.44,120.34,-2.89,-1.92,31.43,37.76
SPY,10/09/2001,110.05,116.10,119.36,-3.26,-2.08,33.82,36.33
SPY,21/09/2001,97.28,112.68,117.25,-4.58,-2.40,24.90,33.73
SPY,28/09/2001,104.44,111.18,116.03,-4.85,-2.70,35.17,32.35
SPY,05/10/2001,107.23,110.46,115.19,-4.73,-2.96,38.68,32.80
SPY,12/10/2001,109.50,110.29,114.65,-4.37,-3.13,41.43,34.80
SPY,19/10/2001,107.35,109.75,113.96,-4.21,-3.27,39.63,35.96
SPY,26/10/2001,110.32,109.86,113.61,-3.76,-3.33,43.29,39.64
SPY,02/11/2001,109.25,109.75,113.20,-3.45,-3.34,42.30,41.07
SPY,09/11/2001,112.72,110.29,113.15,-2.86,-3.28,46.55,42.64
SPY,16/11/2001,114.36,111.03,113.27,-2.24,-3.15,48.47,44.05
SPY,23/11/2001,115.68,111.87,113.50,-1.62,-2.96,50.02,46.13
SPY,30/11/2001,114.05,112.27,113.55,-1.28,-2.75,48.11,47.09
SPY,07/12/2001,116.56,113.05,113.83,-0.79,-2.51,51.19,48.87
SPY,14/12/2001,113.13,113.06,113.77,-0.70,-2.28,47.09,48.98
SPY,21/12/2001,114.95,113.41,113.88,-0.47,-2.05,49.40,49.16
SPY,28/12/2001,116.00,113.88,114.08,-0.20,-1.82,50.72,49.30
SPY,04/01/2002,117.62,114.56,114.42,0.14,-1.58,52.77,50.23
SPY,11/01/2002,114.94,114.63,114.47,0.16,-1.36,49.15,49.83
SPY,18/01/2002,113.15,114.36,114.34,0.02,-1.19,46.85,49.78
SPY,25/01/2002,113.55,114.21,114.27,-0.06,-1.05,47.44,49.39
SPY,01/02/2002,112.65,113.93,114.11,-0.19,-0.94,46.21,48.49
SPY,08/02/2002,110.09,113.23,113.73,-0.50,-0.88,42.82,46.50
SPY,15/02/2002,110.89,112.80,113.46,-0.66,-0.86,44.19,45.50
SPY,22/02/2002,109.64,112.23,113.10,-0.87,-0.86,42.48,44.63
SPY,01/03/2002,113.74,112.50,113.16,-0.65,-0.83,49.35,45.01
SPY,08/03/2002,116.99,113.32,113.52,-0.20,-0.75,54.02,46.57
SPY,15/03/2002,116.65,113.93,113.82,0.10,-0.65,53.47,48.70
SPY,22/03/2002,115.04,114.13,113.94,0.19,-0.54,50.83,50.03
SPY,28/03/2002,114.52,114.20,113.99,0.21,-0.45,49.98,51.53
SPY,05/04/2002,112.69,113.92,113.87,0.06,-0.38,47.01,51.06
SPY,12/04/2002,111.42,113.47,113.63,-0.17,-0.36,45.02,49.26
SPY,19/04/2002,112.88,113.36,113.56,-0.20,-0.34,47.74,48.12
SPY,26/04/2002,107.39,112.28,112.98,-0.70,-0.38,39.79,45.91
SPY,03/05/2002,107.58,111.42,112.46,-1.04,-0.46,40.16,43.94
SPY,10/05/2002,105.72,110.39,111.82,-1.43,-0.59,37.74,42.09
SPY,17/05/2002,110.90,110.48,111.73,-1.25,-0.67,47.25,42.54
SPY,24/05/2002,108.69,110.15,111.44,-1.29,-0.75,44.17,41.82
SPY,31/05/2002,107.22,109.62,111.04,-1.42,-0.83,42.20,42.30
SPY,07/06/2002,103.34,108.48,110.31,-1.83,-0.96,37.49,41.77
SPY,14/06/2002,101.40,107.19,109.46,-2.27,-1.12,35.37,41.30
SPY,21/06/2002,99.28,105.75,108.49,-2.74,-1.32,33.18,38.48
SPY,28/06/2002,98.96,104.52,107.58,-3.06,-1.54,32.85,36.22
SPY,05/07/2002,99.31,103.57,106.79,-3.22,-1.75,33.62,34.50
SPY,12/07/2002,91.85,101.44,105.37,-3.93,-2.02,26.63,32.33
SPY,19/07/2002,84.71,98.40,103.40,-5.00,-2.40,21.95,29.64
SPY,26/07/2002,85.60,96.07,101.71,-5.64,-2.80,23.74,27.76
SPY,02/08/2002,86.79,94.38,100.29,-5.90,-3.19,26.16,26.42
SPY,09/08/2002,91.29,93.82,99.43,-5.61,-3.49,34.60,26.61
SPY,16/08/2002,93.22,93.71,98.84,-5.13,-3.70,37.86,28.86
SPY,23/08/2002,94.60,93.87,98.43,-4.56,-3.80,40.14,32.50
SPY,30/08/2002,91.78,93.49,97.80,-4.31,-3.87,37.15,35.18
SPY,06/09/2002,90.00,92.86,97.06,-4.20,-3.91,35.37,37.02
SPY,13/09/2002,89.67,92.28,96.35,-4.08,-3.93,35.03,37.11
SPY,20/09/2002,84.35,90.84,95.21,-4.37,-3.98,30.12,35.56
SPY,27/09/2002,82.75,89.37,94.02,-4.66,-4.07,28.82,33.30
SPY,04/10/2002,80.80,87.81,92.76,-4.96,-4.18,27.28,31.32
SPY,11/10/2002,84.16,87.15,91.95,-4.80,-4.26,33.81,31.01
SPY,18/10/2002,88.64,87.42,91.63,-4.21,-4.25,41.33,32.27
SPY,25/10/2002,90.20,87.92,91.49,-3.57,-4.17,43.72,34.99
SPY,01/11/2002,90.27,88.35,91.38,-3.03,-4.02,43.83,37.99
SPY,08/11/2002,89.65,88.59,91.21,-2.63,-3.85,43.03,41.15
SPY,15/11/2002,91.40,89.10,91.23,-2.13,-3.64,46.01,43.59
SPY,22/11/2002,93.42,89.88,91.44,-1.56,-3.38,49.28,45.17
SPY,29/11/2002,93.98,90.63,91.68,-1.05,-3.08,50.17,46.46
SPY,06/12/2002,92.03,90.88,91.71,-0.83,-2.80,47.07,47.11
SPY,13/12/2002,89.34,90.60,91.49,-0.89,-2.56,43.12,47.13
SPY,20/12/2002,89.99,90.49,91.35,-0.85,-2.35,44.33,46.80
SPY,27/12/2002,87.38,89.93,90.97,-1.04,-2.19,40.62,45.06
SPY,03/01/2003,91.35,90.18,91.00,-0.82,-2.02,47.75,44.58
SPY,10/01/2003,93.06,90.71,91.20,-0.49,-1.83,50.49,45.26
SPY,17/01/2003,90.66,90.70,91.15,-0.45,-1.65,46.80,46.00
SPY,24/01/2003,86.38,89.91,90.69,-0.78,-1.54,41.06,45.34
SPY,31/01/2003,86.06,89.21,90.25,-1.04,-1.48,40.66,45.35
SPY,07/02/2003,83.42,88.16,89.60,-1.44,-1.48,37.44,43.29
SPY,14/02/2003,84.15,87.43,89.08,-1.65,-1.50,38.87,40.97
SPY,21/02/2003,85.18,87.02,88.71,-1.69,-1.52,40.92,39.79
SPY,28/02/2003,84.90,86.64,88.35,-1.71,-1.55,40.53,39.68
SPY,07/03/2003,83.32,86.03,87.87,-1.84,-1.58,38.29,39.21
SPY,14/03/2003,84.13,85.69,87.51,-1.83,-1.61,40.10,39.74
SPY,21/03/2003,89.67,86.41,87.72,-1.31,-1.57,50.73,42.11
SPY,28/03/2003,86.71,86.47,87.62,-1.16,-1.52,46.05,43.14
SPY,04/04/2003,88.22,86.78,87.68,-0.90,-1.44,48.64,44.76
SPY,11/04/2003,87.15,86.85,87.63,-0.78,-1.36,46.93,46.49
SPY,17/04/2003,89.56,87.34,87.81,-0.47,-1.25,51.08,48.69
SPY,25/04/2003,90.23,87.87,88.04,-0.17,-1.12,52.19,48.98
SPY,02/05/2003,93.21,88.84,88.54,0.30,-0.94,56.87,51.14
SPY,09/05/2003,93.73,89.73,89.03,0.70,-0.73,57.64,52.94
SPY,16/05/2003,94.87,90.66,89.59,1.08,-0.51,59.36,55.43
SPY,23/05/2003,93.76,91.23,89.98,1.24,-0.29,56.95,56.60
SPY,30/05/2003,96.95,92.27,90.65,1.62,-0.05,61.73,58.51
SPY,06/06/2003,99.26,93.54,91.47,2.07,0.22,64.76,60.09
SPY,13/06/2003,99.56,94.63,92.24,2.40,0.49,65.14,61.59
SPY,20/06/2003,99.44,95.51,92.92,2.58,0.75,64.84,62.68
SPY,27/06/2003,97.66,95.90,93.38,2.52,0.97,60.38,63.37
SPY,03/07/2003,98.74,96.42,93.89,2.53,1.17,62.07,63.44
SPY,11/07/2003,100.24,97.11,94.49,2.62,1.35,64.35,63.36
SPY,18/07/2003,99.51,97.55,94.97,2.58,1.50,62.40,62.81
SPY,25/07/2003,100.23,98.03,95.47,2.56,1.63,63.56,62.55
SPY,01/08/2003,98.51,98.12,95.76,2.36,1.73,58.89,62.25
SPY,08/08/2003,98.28,98.15,96.00,2.15,1.78,58.27,61.49
SPY,15/08/2003,99.62,98.42,96.34,2.07,1.82,60.82,60.79
SPY,22/08/2003,99.77,98.66,96.67,1.99,1.84,61.11,60.53
SPY,29/08/2003,101.44,99.17,97.12,2.04,1.86,64.22,60.66
SPY,05/09/2003,102.83,99.83,97.67,2.17,1.90,66.60,62.20
SPY,12/09/2003,102.45,100.31,98.12,2.19,1.94,65.32,63.61
SPY,19/09/2003,103.67,100.92,98.65,2.27,1.98,67.46,64.94
SPY,26/09/2003,99.95,100.74,98.78,1.97,1.98,56.15,63.95
SPY,03/10/2003,103.39,101.23,99.22,2.01,1.98,62.40,63.59
