Ticker,Date/Time,Price,EMA1,EMA2,MACD,SIGNAL
SPY,02/01/2009,92.96,91.67,99.46,-7.79,-8.06
SPY,09/01/2009,89.09,91.20,98.47,-7.27,-7.96
SPY,16/01/2009,85.06,90.08,97.20,-7.11,-7.86
SPY,23/01/2009,83.11,88.82,95.85,-7.04,-7.75
SPY,30/01/2009,82.83,87.73,94.61,-6.89,-7.65
SPY,06/02/2009,86.98,87.59,93.89,-6.30,-7.48
SPY,13/02/2009,82.76,86.71,92.83,-6.11,-7.31
SPY,20/02/2009,77.42,85.02,91.36,-6.34,-7.18
SPY,27/02/2009,73.93,83.01,89.70,-6.69,-7.12
SPY,06/03/2009,68.92,80.45,87.72,-7.28,-7.14
SPY,13/03/2009,76.09,79.65,86.61,-6.96,-7.12
SPY,20/03/2009,76.71,79.12,85.67,-6.55,-7.05
SPY,27/03/2009,81.61,79.57,85.28,-5.71,-6.88
SPY,03/04/2009,84.26,80.42,85.19,-4.76,-6.62
SPY,09/04/2009,85.81,81.40,85.25,-3.84,-6.27
SPY,17/04/2009,87.08,82.44,85.42,-2.98,-5.86
SPY,24/04/2009,86.66,83.20,85.54,-2.33,-5.42
SPY,01/05/2009,87.89,84.06,85.76,-1.71,-4.95
SPY,08/05/2009,92.98,85.68,86.45,-0.77,-4.43
SPY,15/05/2009,88.71,86.23,86.66,-0.44,-3.93
SPY,22/05/2009,89.02,86.74,86.89,-0.15,-3.46
SPY,29/05/2009,92.53,87.79,87.43,0.36,-2.98
SPY,05/06/2009,94.55,89.02,88.10,0.91,-2.49
SPY,12/06/2009,95.08,90.12,88.77,1.35,-2.01
SPY,19/06/2009,92.04,90.47,89.08,1.39,-1.59
SPY,26/06/2009,91.84,90.72,89.34,1.38,-1.22
SPY,02/07/2009,89.81,90.55,89.39,1.17,-0.92
SPY,10/07/2009,87.96,90.08,89.25,0.83,-0.70
SPY,17/07/2009,94.13,90.82,89.72,1.10,-0.48
SPY,24/07/2009,98.06,92.13,90.51,1.62,-0.21
SPY,31/07/2009,98.81,93.35,91.30,2.05,0.07
SPY,07/08/2009,101.20,94.78,92.24,2.53,0.38
SPY,14/08/2009,100.79,95.87,93.06,2.81,0.68
SPY,21/08/2009,102.97,97.16,94.00,3.16,0.99
SPY,28/08/2009,103.38,98.29,94.90,3.40,1.29
SPY,04/09/2009,102.06,98.98,95.58,3.40,1.56
SPY,11/09/2009,104.77,100.03,96.45,3.58,1.81
SPY,18/09/2009,106.72,101.25,97.43,3.82,2.06
SPY,25/09/2009,104.45,101.83,98.10,3.73,2.27
SPY,02/10/2009,102.49,101.95,98.52,3.43,2.41
SPY,09/10/2009,107.26,102.91,99.35,3.56,2.56
SPY,16/10/2009,108.89,104.00,100.26,3.74,2.71
SPY,23/10/2009,108.08,104.74,101.00,3.74,2.83
SPY,30/10/2009,103.56,104.53,101.25,3.28,2.89
SPY,06/11/2009,107.13,105.00,101.81,3.19,2.93
SPY,13/11/2009,109.62,105.84,102.55,3.29,2.97
SPY,20/11/2009,109.43,106.49,103.21,3.29,3.01
SPY,27/11/2009,109.57,107.05,103.81,3.24,3.04
SPY,04/12/2009,111.01,107.77,104.50,3.27,3.07
SPY,11/12/2009,111.11,108.38,105.13,3.25,3.09
SPY,18/12/2009,110.21,108.71,105.61,3.10,3.09
SPY,24/12/2009,112.48,109.40,106.27,3.13,3.10
SPY,31/12/2009,111.44,109.77,106.76,3.01,3.09
SPY,08/01/2010,114.57,110.64,107.50,3.14,3.09
SPY,15/01/2010,113.64,111.19,108.09,3.10,3.09
SPY,22/01/2010,109.21,110.83,108.19,2.63,3.04
SPY,29/01/2010,107.39,110.20,108.12,2.08,2.92
SPY,05/02/2010,106.66,109.56,107.98,1.58,2.75
SPY,12/02/2010,108.04,109.28,107.98,1.30,2.57
