date,prediction_date,pred_timestamp,asset_name,prediction_name,EMA1
2023-08-22,2023-08-21,2023-08-22 01:45:24+00:00,QQQ,EMA1,366.519317627
2023-08-23,2023-08-21,2023-08-22 01:45:24+00:00,QQQ,EMA1,368.1526184082
2023-08-24,2023-08-21,2023-08-22 01:45:24+00:00,QQQ,EMA1,364.4969482422
2023-08-25,2023-08-21,2023-08-22 01:45:24+00:00,QQQ,EMA1,363.3623962402
2023-08-28,2023-08-21,2023-08-22 01:45:24+00:00,QQQ,EMA1,362.9440612793
2023-08-23,2023-08-22,2023-08-23 01:45:24+00:00,QQQ,EMA1,367.1905517578
2023-08-24,2023-08-22,2023-08-23 01:45:24+00:00,QQQ,EMA1,368.8135986328
2023-08-25,2023-08-22,2023-08-23 01:45:24+00:00,QQQ,EMA1,365.1614074707
2023-08-28,2023-08-22,2023-08-23 01:45:24+00:00,QQQ,EMA1,364.2484130859
2023-08-29,2023-08-22,2023-08-23 01:45:24+00:00,QQQ,EMA1,363.9481506348
2023-08-24,2023-08-23,2023-08-24 01:45:22+00:00,QQQ,EMA1,368.2433776855
2023-08-25,2023-08-23,2023-08-24 01:45:22+00:00,QQQ,EMA1,369.8186645508
2023-08-28,2023-08-23,2023-08-24 01:45:22+00:00,QQQ,EMA1,366.2744140625
2023-08-29,2023-08-23,2023-08-24 01:45:22+00:00,QQQ,EMA1,365.5000305176
2023-08-30,2023-08-23,2023-08-24 01:45:22+00:00,QQQ,EMA1,365.3648376465
2023-08-25,2023-08-24,2023-08-25 01:45:24+00:00,QQQ,EMA1,367.8464660645
2023-08-28,2023-08-24,2023-08-25 01:45:24+00:00,QQQ,EMA1,369.324005127
2023-08-29,2023-08-24,2023-08-25 01:45:24+00:00,QQQ,EMA1,365.9642944336
2023-08-30,2023-08-24,2023-08-25 01:45:24+00:00,QQQ,EMA1,365.0237121582
2023-08-31,2023-08-24,2023-08-25 01:45:24+00:00,QQQ,EMA1,365.045135498
2023-08-28,2023-08-25,2023-08-26 01:45:27+00:00,QQQ,EMA1,366.9893798828
2023-08-29,2023-08-25,2023-08-26 01:45:27+00:00,QQQ,EMA1,368.396270752
2023-08-30,2023-08-25,2023-08-26 01:45:27+00:00,QQQ,EMA1,365.1508483887
2023-08-31,2023-08-25,2023-08-26 01:45:27+00:00,QQQ,EMA1,364.1381225586
2023-09-01,2023-08-25,2023-08-26 01:45:27+00:00,QQQ,EMA1,364.1596984863
