Date,Symbol,Close,EMA1,EMA2,MACD,SIGNAL
2023-01-03,SPY,380.82,380.82,380.82,0.0,0.0
2023-01-04,SPY,383.76,381.3545,381.1,0.2545,0.0318
2023-01-05,SPY,379.38,380.9955,380.9362,0.0593,0.0353
2023-01-06,SPY,388.08,382.2836,381.6166,0.6671,0.1142
2023-01-09,SPY,387.86,383.2975,382.2112,1.0863,0.2357
2023-01-10,SPY,390.58,384.6216,383.0082,1.6134,0.408
2023-01-11,SPY,395.52,386.6031,384.1998,2.4033,0.6574
2023-01-12,SPY,396.96,388.4862,385.4151,3.0711,0.9591
2023-01-13,SPY,398.5,390.3069,386.6612,3.6456,1.2949
2023-01-17,SPY,397.77,391.6638,387.7192,3.9446,1.6261
2023-01-18,SPY,391.49,391.6322,388.0783,3.5539,1.8671
2023-01-19,SPY,388.64,391.0882,388.1318,2.9563,2.0032
2023-01-20,SPY,395.88,391.9594,388.8698,3.0897,2.1391
2023-01-23,SPY,400.63,393.5359,389.9898,3.5461,2.3149
2023-01-24,SPY,400.2,394.7475,390.9622,3.7854,2.4987
2023-01-25,SPY,400.35,395.7662,391.8563,3.9099,2.6751
2023-01-26,SPY,404.75,397.3996,393.0842,4.3154,2.8802
2023-01-27,SPY,405.68,398.9051,394.2838,4.6213,3.0978
2023-01-30,SPY,400.59,399.2115,394.8844,4.327,3.2515
2023-01-31,SPY,406.48,400.533,395.9888,4.5443,3.4131
2023-02-01,SPY,410.8,402.3997,397.3994,5.0004,3.6115
2023-02-02,SPY,416.78,405.0143,399.2451,5.7692,3.8812
2023-02-03,SPY,412.35,406.3481,400.4932,5.8549,4.1279
2023-02-06,SPY,409.83,406.9812,401.3824,5.5987,4.3118
2023-02-07,SPY,415.19,408.4737,402.6974,5.7762,4.4948
2023-02-08,SPY,410.65,408.8694,403.4548,5.4146,4.6098
2023-02-09,SPY,407.09,408.5459,403.801,4.7448,4.6267
2023-02-10,SPY,408.04,408.4539,404.2047,4.2491,4.5795
2023-02-13,SPY,412.83,409.2495,405.0262,4.2233,4.535
2023-02-14,SPY,412.64,409.866,405.7513,4.1147,4.4824
2023-02-15,SPY,413.98,410.614,406.535,4.079,4.432
2023-02-16,SPY,408.28,410.1896,406.7012,3.4884,4.314
2023-02-17,SPY,407.26,409.657,406.7544,2.9026,4.1376
2023-02-21,SPY,399.09,407.7357,406.0245,1.7112,3.8343
2023-02-22,SPY,398.54,406.0638,405.3117,0.7521,3.449
2023-02-23,SPY,400.66,405.0813,404.8686,0.2126,3.0445
2023-02-24,SPY,396.38,403.4992,404.0602,-0.561,2.5938
2023-02-27,SPY,397.73,402.4503,403.4573,-1.0071,2.1437
2023-02-28,SPY,396.26,401.3248,402.7719,-1.4471,1.6948
2023-03-01,SPY,394.74,400.1275,402.0069,-1.8794,1.2481
2023-03-02,SPY,397.81,399.7062,401.6072,-1.9011,0.8544
2023-03-03,SPY,404.19,400.5214,401.8532,-1.3318,0.5811
2023-03-06,SPY,404.47,401.2393,402.1024,-0.8631,0.4006
2023-03-07,SPY,398.27,400.6995,401.7374,-1.038,0.2208
2023-03-08,SPY,398.92,400.3759,401.4691,-1.0932,0.0565
2023-03-09,SPY,391.56,398.773,400.5254,-1.7524,-0.1696
2023-03-10,SPY,385.91,396.4343,399.1334,-2.6991,-0.4858
2023-03-13,SPY,385.36,394.4208,397.8217,-3.4009,-0.8502
2023-03-14,SPY,391.73,393.9315,397.2415,-3.31,-1.1576
2023-03-15,SPY,389.28,393.0858,396.4833,-3.3975,-1.4376
2023-03-16,SPY,396.11,393.6357,396.4477,-2.8121,-1.6094
2023-03-17,SPY,389.99,392.9728,395.8327,-2.8599,-1.7657
2023-03-20,SPY,393.74,393.1123,395.6334,-2.5211,-1.8601
2023-03-21,SPY,398.91,394.1664,395.9455,-1.779,-1.85
2023-03-22,SPY,392.11,393.7925,395.5802,-1.7876,-1.8422
2023-03-23,SPY,393.17,393.6793,395.3506,-1.6713,-1.8208
2023-03-24,SPY,395.75,394.0558,395.3887,-1.3328,-1.7598
2023-03-27,SPY,396.49,394.4984,395.4936,-0.9952,-1.6643
2023-03-28,SPY,395.6,394.6987,395.5037,-0.805,-1.5569
2023-03-29,SPY,401.35,395.908,396.0605,-0.1525,-1.3813
2023-03-30,SPY,403.7,397.3247,396.7881,0.5367,-1.1416
2023-03-31,SPY,409.39,399.5184,397.9882,1.5302,-0.8076
2023-04-03,SPY,410.95,401.5969,399.2227,2.3742,-0.4099
2023-04-04,SPY,408.67,402.8829,400.1224,2.7605,-0.0136
2023-04-05,SPY,407.6,403.7406,400.8346,2.906,0.3514
2023-04-06,SPY,409.19,404.7314,401.6303,3.101,0.6951
2023-04-10,SPY,409.61,405.6184,402.3903,3.2281,1.0117
2023-04-11,SPY,409.72,406.3641,403.0884,3.2758,1.2947
2023-04-12,SPY,408.05,406.6707,403.5609,3.1098,1.5216
2023-04-13,SPY,413.47,407.9069,404.5046,3.4023,1.7567
2023-04-14,SPY,412.46,408.7347,405.2623,3.4725,1.9711
2023-04-17,SPY,413.94,409.6812,406.0887,3.5924,2.1738
2023-04-18,SPY,414.21,410.5046,406.8622,3.6424,2.3574
2023-04-19,SPY,414.14,411.1656,407.5553,3.6102,2.514
2023-04-20,SPY,411.88,411.2955,407.9672,3.3283,2.6158
2023-04-21,SPY,412.2,411.4599,408.3703,3.0896,2.675
2023-04-24,SPY,412.63,411.6727,408.776,2.8967,2.7027
2023-04-25,SPY,406.08,410.6558,408.5192,2.1366,2.6319
2023-04-26,SPY,404.36,409.5111,408.1231,1.388,2.4765
2023-04-27,SPY,412.41,410.0382,408.5314,1.5068,2.3552
2023-04-28,SPY,415.93,411.1094,409.236,1.8734,2.295
2023-05-01,SPY,415.51,411.9095,409.8335,2.076,2.2676
2023-05-02,SPY,410.84,411.7151,409.9294,1.7857,2.2074
2023-05-03,SPY,408.02,411.0432,409.7476,1.2957,2.0934
2023-05-04,SPY,405.13,409.9681,409.3078,0.6603,1.9143
2023-05-05,SPY,412.63,410.4521,409.6242,0.8279,1.7785
2023-05-08,SPY,412.74,410.8681,409.9209,0.9471,1.6746
2023-05-09,SPY,410.93,410.8793,410.017,0.8623,1.573
2023-05-10,SPY,412.85,411.2376,410.2868,0.9508,1.4953
2023-05-11,SPY,412.13,411.3999,410.4624,0.9375,1.4255
2023-05-12,SPY,411.59,411.4344,410.5698,0.8647,1.3554
2023-05-15,SPY,413.01,411.7209,410.8022,0.9187,1.3008
2023-05-16,SPY,410.25,411.4535,410.7496,0.7039,1.2262
2023-05-17,SPY,415.23,412.1401,411.1763,0.9638,1.1934
2023-05-18,SPY,419.23,413.4292,411.9433,1.4859,1.23
2023-05-19,SPY,418.62,414.373,412.5792,1.7938,1.3005
2023-05-22,SPY,418.79,415.1761,413.1707,2.0054,1.3886
2023-05-23,SPY,414.09,414.9786,413.2582,1.7204,1.43
2023-05-24,SPY,411.09,414.2716,413.0517,1.2198,1.4038
2023-05-25,SPY,414.65,414.3404,413.204,1.1364,1.3704
2023-05-26,SPY,420.02,415.373,413.8531,1.5199,1.389
