Date,Symbol,Close,EMA1,EMA2,MACD,SIGNAL
2020-01-02,QQQ,216.16,212.2707,209.7898,2.4809,2.0938
2020-01-03,QQQ,214.18,212.6178,210.2079,2.41,2.1333
2020-01-06,QQQ,215.56,213.1528,210.7176,2.4352,2.171
2020-01-07,QQQ,215.53,213.585,211.1759,2.4091,2.2008
2020-01-08,QQQ,217.15,214.2332,211.7449,2.4883,2.2367
2020-01-09,QQQ,218.99,215.0981,212.4349,2.6632,2.29
2020-01-10,QQQ,218.43,215.7039,213.0059,2.698,2.341
2020-01-13,QQQ,220.95,216.6577,213.7624,2.8953,2.4103
2020-01-14,QQQ,220.08,217.2799,214.3641,2.9158,2.4735
2020-01-15,QQQ,220.17,217.8054,214.9171,2.8883,2.5254
2020-01-16,QQQ,222.28,218.619,215.6183,3.0007,2.5848
2020-01-17,QQQ,223.38,219.4846,216.3575,3.1271,2.6526
2020-01-21,QQQ,223.28,220.1747,217.0168,3.1579,2.7157
2020-01-22,QQQ,223.87,220.8466,217.6695,3.1771,2.7734
2020-01-23,QQQ,224.59,221.5272,218.3286,3.1986,2.8265
2020-01-24,QQQ,222.7,221.7404,218.7449,2.9955,2.8477
2020-01-27,QQQ,218.1,221.0785,218.6835,2.395,2.7911
2020-01-28,QQQ,221.45,221.1461,218.947,2.1991,2.7171
2020-01-29,QQQ,221.81,221.2668,219.2196,2.0472,2.6334
2020-01-30,QQQ,222.6,221.5092,219.5416,1.9676,2.5501
2020-01-31,QQQ,219.07,221.0657,219.4967,1.569,2.4275
2020-02-03,QQQ,222.38,221.3047,219.7713,1.5334,2.3157
2020-02-04,QQQ,227.47,222.4256,220.5045,1.9212,2.2664
2020-02-05,QQQ,228.22,223.4792,221.2393,2.2399,2.2631
2020-02-06,QQQ,230.19,224.6993,222.0917,2.6076,2.3062
2020-02-07,QQQ,229.2,225.5176,222.7687,2.7489,2.3615
2020-02-10,QQQ,231.97,226.6908,223.645,3.0457,2.447
2020-02-11,QQQ,232.01,227.6579,224.4417,3.2162,2.5432
2020-02-12,QQQ,234.27,228.8601,225.3777,3.4824,2.6606
2020-02-13,QQQ,233.97,229.7892,226.196,3.5931,2.7772
2020-02-14,QQQ,234.64,230.6711,227.0002,3.6709,2.8889
2020-02-18,QQQ,234.73,231.4091,227.7364,3.6727,2.9869
2020-02-19,QQQ,236.98,232.422,228.6167,3.8053,3.0892
2020-02-20,QQQ,234.78,232.8507,229.2037,3.647,3.1589
2020-02-21,QQQ,230.27,232.3815,229.3053,3.0762,3.1486
2020-02-24,QQQ,221.39,230.3831,228.5514,1.8316,2.9839
2020-02-25,QQQ,215.37,227.6534,227.2961,0.3574,2.6556
2020-02-26,QQQ,216.48,225.6219,226.266,-0.6441,2.2432
2020-02-27,QQQ,205.64,221.9888,224.3016,-2.3128,1.6737
2020-02-28,QQQ,205.8,219.0454,222.5395,-3.4941,1.0277
2020-03-02,QQQ,216.42,218.568,221.9567,-3.3887,0.4756
2020-03-03,QQQ,209.48,216.9157,220.7685,-3.8528,-0.0654
2020-03-04,QQQ,218.22,217.1528,220.5257,-3.3729,-0.4788
2020-03-05,QQQ,211.59,216.1414,219.6747,-3.5333,-0.8607
2020-03-06,QQQ,208.02,214.6648,218.5647,-3.9,-1.2406
2020-03-09,QQQ,193.57,210.8294,216.1843,-5.3549,-1.7549
2020-03-10,QQQ,204.11,209.6077,215.0344,-5.4267,-2.2138
