Ticker,Date/Time,Price,EMA1,EMA2,MACD,SIGNAL,RSI,RSI-MA
SET50,05/01/2009,340.13,316.20,308.98,7.22,2.83,67.92,58.55
SET50,06/01/2009,335.73,319.75,311.53,8.22,3.50,64.76,60.42
SET50,07/01/2009,326.77,321.03,312.98,8.04,4.07,58.79,60.98
SET50,08/01/2009,328.25,322.34,314.44,7.90,4.55,59.45,61.68
SET50,09/01/2009,323.00,322.46,315.25,7.21,4.88,56.03,61.39
SET50,12/01/2009,317.08,321.48,315.43,6.06,5.03,52.39,58.28
SET50,13/01/2009,301.33,317.82,314.08,3.73,4.87,44.21,54.17
SET50,14/01/2009,306.33,315.73,313.34,2.38,4.56,47.02,51.82
SET50,15/01/2009,295.38,312.03,311.63,0.40,4.04,42.04,48.34
SET50,16/01/2009,302.64,310.32,310.78,-0.46,3.47,46.10,46.35
SET50,19/01/2009,302.60,308.92,310.00,-1.08,2.91,46.08,45.09
SET50,20/01/2009,300.83,307.45,309.13,-1.68,2.33,45.19,45.29
SET50,21/01/2009,298.91,305.90,308.15,-2.26,1.76,44.21,44.72
SET50,22/01/2009,304.66,305.67,307.82,-2.15,1.27,47.86,45.89
SET50,23/01/2009,300.72,304.77,307.14,-2.37,0.81,45.66,45.80
SET50,26/01/2009,303.33,304.51,306.78,-2.27,0.43,47.38,46.06
SET50,27/01/2009,309.76,305.46,307.06,-1.60,0.18,51.42,47.30
SET50,28/01/2009,312.51,306.74,307.58,-0.84,0.05,53.07,49.08
SET50,29/01/2009,301.49,305.79,307.00,-1.21,-0.11,46.31,48.77
SET50,30/01/2009,303.59,305.39,306.68,-1.29,-0.26,47.67,49.17
SET50,02/02/2009,295.46,303.58,305.61,-2.03,-0.48,43.14,48.32
SET50,03/02/2009,297.54,302.49,304.84,-2.36,-0.71,44.58,46.95
SET50,04/02/2009,299.43,301.93,304.33,-2.40,-0.92,45.92,45.52
SET50,05/02/2009,299.72,301.53,303.89,-2.36,-1.10,46.13,45.49
SET50,06/02/2009,309.27,302.94,304.40,-1.46,-1.15,52.73,46.50
SET50,10/02/2009,307.98,303.85,304.74,-0.89,-1.12,51.81,48.23
SET50,11/02/2009,308.72,304.74,305.12,-0.38,-1.02,52.32,49.78
SET50,12/02/2009,305.65,304.90,305.17,-0.27,-0.93,49.97,50.59
SET50,13/02/2009,310.03,305.84,305.63,0.20,-0.79,53.18,52.00
SET50,16/02/2009,310.58,306.70,306.10,0.59,-0.61,53.59,52.17
SET50,17/02/2009,303.46,306.11,305.85,0.26,-0.51,47.89,51.39
SET50,18/02/2009,304.22,305.77,305.70,0.07,-0.43,48.52,50.63
SET50,19/02/2009,306.03,305.81,305.73,0.09,-0.37,50.05,50.64
SET50,20/02/2009,300.62,304.87,305.24,-0.37,-0.37,45.70,49.15
SET50,23/02/2009,300.76,304.12,304.82,-0.69,-0.41,45.83,47.59
SET50,24/02/2009,298.03,303.01,304.17,-1.15,-0.50,43.63,46.74
SET50,25/02/2009,300.73,302.60,303.84,-1.24,-0.60,46.35,46.31
SET50,26/02/2009,299.20,301.98,303.40,-1.42,-0.70,45.03,45.31
SET50,27/02/2009,299.58,301.54,303.04,-1.49,-0.80,45.45,45.26
SET50,02/03/2009,288.24,299.13,301.63,-2.50,-1.01,36.64,43.42
SET50,03/03/2009,285.35,296.62,300.08,-3.46,-1.32,34.80,41.66
SET50,04/03/2009,289.03,295.24,299.02,-3.78,-1.62,38.98,40.18
SET50,05/03/2009,288.68,294.05,298.04,-3.99,-1.92,38.73,38.92
SET50,06/03/2009,290.50,293.40,297.32,-3.92,-2.17,40.87,38.01
SET50,09/03/2009,284.25,291.74,296.08,-4.34,-2.44,36.22,37.92
SET50,10/03/2009,289.65,291.36,295.46,-4.11,-2.65,42.30,39.42
SET50,11/03/2009,287.21,290.60,294.68,-4.07,-2.83,40.43,39.71
SET50,12/03/2009,287.62,290.06,294.01,-3.94,-2.97,40.90,40.14
SET50,13/03/2009,295.42,291.04,294.14,-3.10,-2.98,49.08,41.79
SET50,16/03/2009,295.43,291.83,294.26,-2.43,-2.91,49.09,44.36
SET50,17/03/2009,292.94,292.04,294.14,-2.10,-2.81,46.72,45.25
SET50,18/03/2009,296.06,292.77,294.32,-1.55,-2.66,49.96,47.15
SET50,19/03/2009,297.16,293.57,294.59,-1.02,-2.45,51.09,49.19
SET50,20/03/2009,298.86,294.53,295.00,-0.47,-2.20,52.84,49.94
SET50,23/03/2009,305.72,296.56,296.02,0.54,-1.86,59.18,51.96
SET50,24/03/2009,305.58,298.20,296.93,1.27,-1.47,59.00,54.41
SET50,25/03/2009,304.81,299.40,297.68,1.72,-1.07,58.00,56.02
SET50,26/03/2009,306.84,300.76,298.55,2.20,-0.66,59.92,57.79
SET50,27/03/2009,307.96,302.07,299.45,2.62,-0.25,60.98,59.42
SET50,30/03/2009,298.81,301.47,299.39,2.09,0.04,49.56,57.49
SET50,31/03/2009,300.20,301.24,299.46,1.78,0.26,51.05,55.90
SET50,01/04/2009,298.97,300.83,299.42,1.41,0.40,49.66,54.23
SET50,02/04/2009,309.62,302.43,300.39,2.04,0.61,59.82,54.21
SET50,03/04/2009,312.34,304.23,301.53,2.70,0.87,61.93,54.41
SET50,07/04/2009,309.58,305.20,302.29,2.91,1.12,58.59,56.21
SET50,08/04/2009,310.51,306.17,303.08,3.09,1.37,59.38,57.88
SET50,09/04/2009,310.91,307.03,303.82,3.21,1.60,59.74,59.89
SET50,10/04/2009,318.57,309.13,305.23,3.90,1.89,65.84,61.10
SET50,16/04/2009,317.22,310.60,306.37,4.23,2.18,64.01,61.51
SET50,17/04/2009,320.47,312.39,307.71,4.68,2.49,66.42,63.08
SET50,20/04/2009,328.49,315.32,309.69,5.63,2.88,71.47,65.50
SET50,21/04/2009,328.02,317.63,311.44,6.19,3.30,70.80,67.71
SET50,22/04/2009,323.09,318.62,312.55,6.08,3.65,64.07,67.35
SET50,23/04/2009,326.94,320.13,313.92,6.22,3.97,66.72,67.90
SET50,24/04/2009,332.83,322.44,315.72,6.72,4.31,70.31,68.67
SET50,27/04/2009,333.40,324.44,317.40,7.03,4.65,70.63,68.51
SET50,28/04/2009,331.76,325.77,318.77,7.00,4.94,68.31,68.01
SET50,29/04/2009,340.12,328.38,320.80,7.57,5.27,73.14,69.82
SET50,30/04/2009,346.81,331.73,323.28,8.45,5.67,76.25,71.73
SET50,04/05/2009,358.76,336.64,326.66,9.98,6.21,80.56,73.78
SET50,06/05/2009,371.94,343.06,330.97,12.09,6.94,83.99,76.45
SET50,07/05/2009,374.94,348.86,335.16,13.70,7.79,84.65,79.72
SET50,11/05/2009,380.78,354.66,339.50,15.16,8.71,85.86,82.26
SET50,12/05/2009,387.25,360.59,344.05,16.54,9.69,87.08,84.43
SET50,13/05/2009,393.54,366.58,348.76,17.81,10.70,88.14,85.94
SET50,14/05/2009,373.26,367.79,351.10,16.70,11.45,68.65,82.88
SET50,15/05/2009,380.02,370.02,353.85,16.16,12.04,70.95,80.14
SET50,18/05/2009,384.64,372.67,356.78,15.89,12.52,72.42,77.45
SET50,19/05/2009,398.02,377.28,360.71,16.57,13.03,76.18,75.27
SET50,20/05/2009,401.46,381.68,364.59,17.09,13.54,77.04,73.05
SET50,21/05/2009,390.48,383.28,367.06,16.22,13.87,68.56,73.03
SET50,22/05/2009,394.21,385.27,369.64,15.62,14.09,69.77,72.80
SET50,25/05/2009,390.71,386.26,371.65,14.61,14.16,67.17,71.75
SET50,26/05/2009,384.77,385.99,372.90,13.09,14.02,62.90,69.09
SET50,27/05/2009,395.13,387.65,375.02,12.63,13.85,66.84,67.05
