Price,EMA1,MACD,RSI
182.92,182.8,1.11,59.41
182.89,182.82,1.01,59.25
182.36,182.73,0.87,56.37
183.48,182.87,0.85,60.7
183.52,182.99,0.83,60.85
183.64,183.11,0.81,61.32
184.14,183.29,0.82,63.29
181.69,183.0,0.6,49.94
183.67,183.12,0.6,57.67
184.66,183.4,0.68,60.9
184.42,183.59,0.7,59.72
183.64,183.6,0.64,55.93
184.18,183.7,0.63,57.91
184.3,183.81,0.62,58.36
182.79,183.63,0.47,51.06
178.89,182.76,0.02,37.94
178.01,181.9,-0.4,35.72
179.07,181.39,-0.6,40.23
177.35,180.65,-0.89,35.86
179.23,180.39,-0.93,43.1
178.18,179.99,-1.04,40.37
174.17,178.93,-1.44,32.07
175.39,178.29,-1.61,36.34
175.17,177.72,-1.73,35.9
177.48,177.68,-1.58,43.52
179.68,178.04,-1.26,49.64
180.01,178.4,-0.97,50.5
181.98,179.05,-0.57,55.38
182.07,179.6,-0.25,55.59
183.01,180.22,0.07,57.86
184.02,180.91,0.39,60.19
184.24,181.52,0.64,60.7
183.02,181.79,0.71,56.42
184.1,182.21,0.84,59.15
183.89,182.52,0.91,58.39
184.91,182.95,1.03,61.01
184.84,183.29,1.09,60.73
184.85,183.58,1.13,60.75
185.82,183.98,1.21,63.43
186.29,184.4,1.3,64.68
184.98,184.51,1.22,58.69
187.58,185.07,1.37,65.49
187.75,185.55,1.47,65.88
188.18,186.03,1.56,66.9
188.26,186.44,1.61,67.1
188.16,186.75,1.6,66.57
187.23,186.84,1.49,61.72
187.28,186.92,1.39,61.88
185.18,186.6,1.1,52.08
184.66,186.25,0.83,49.98
186.33,186.26,0.76,56.07
187.66,186.52,0.81,60.21
186.66,186.54,0.74,55.97
187.75,186.76,0.78,59.32
186.2,186.66,0.65,53.15
185.43,186.44,0.49,50.37
186.31,186.41,0.43,53.36
184.97,186.15,0.26,48.58
184.58,185.87,0.1,47.26
185.49,185.8,0.06,50.62
187.01,186.02,0.16,55.66
188.25,186.42,0.34,59.3
188.88,186.87,0.52,61.04
188.63,187.19,0.62,59.95
186.4,187.05,0.49,51.22
184.34,186.55,0.21,44.76
185.1,186.29,0.07,47.38
187.09,186.44,0.13,53.56
183.16,185.84,-0.17,42.9
181.51,185.05,-0.53,39.37
182.94,184.67,-0.66,43.67
184.2,184.58,-0.64,47.21
186.13,184.86,-0.44,52.14
186.39,185.14,-0.27,52.77
187.04,185.49,-0.08,54.4
187.89,185.92,0.14,56.49
187.45,186.2,0.26,55.09
187.83,186.5,0.37,56.1
186.29,186.46,0.32,51.11
186.88,186.54,0.33,52.83
187.75,186.76,0.4,55.32
188.31,187.04,0.5,56.88
188.33,187.27,0.56,56.94
188.06,187.42,0.58,55.86
188.42,187.6,0.61,57.03
186.78,187.45,0.48,50.51
187.88,187.53,0.47,54.26
187.68,187.56,0.44,53.47
187.96,187.63,0.43,54.47
189.79,188.02,0.58,60.4
189.96,188.37,0.69,60.91
189.06,188.5,0.68,56.79
